type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,latitude,longitude,borough,price_per_sqft,price_range
Condo,315000,2,2,1400.0,"New York, NY 10022",New York County,New York,Manhattan,40.761255,-73.9744834,Manhattan,225.0,< $500K
Condo,195000000,7,10,17545.0,"New York, NY 10019",United States,New York,New York County,40.7663935,-73.9809909,Manhattan,11114.28,$10M–$50M
House,260000,4,2,2015.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.5418051,-74.1961086,Staten Island,129.03,< $500K
Condo,69000,3,1,445.0,"Manhattan, NY 10022",United States,New York,New York County,40.7613979,-73.9746128,Manhattan,155.06,< $500K
Townhouse,55000000,7,2,14175.0,"New York, NY 10065",United States,New York,New York County,40.7672235,-73.9698561,Manhattan,3880.07,$10M–$50M
House,690000,5,2,4004.0,"Brooklyn, NY 11238",United States,New York,Kings County,40.6743632,-73.9587248,Brooklyn,172.33,$500K–$1M
Condo,899500,2,2,2184.207862,"New York, NY 10027",New York,New York County,New York,40.809448,-73.946777,Manhattan,411.82,$500K–$1M
House,16800000,8,16,33000.0,"Staten Island, NY 10304",United States,New York,Richmond County,40.5950017,-74.1064235,Staten Island,509.09,$10M–$50M
Co-Op,265000,1,1,750.0,"Bronx, NY 10473",Bronx County,The Bronx,East Bronx,40.8215857,-73.8740892,Bronx,353.33,< $500K
Co-Op,440000,2,1,978.0,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,40.6157378,-73.9696944,Brooklyn,449.9,< $500K
Co-Op,375000,2,1,850.0,"Bronx, NY 10451",New York,Bronx County,The Bronx,40.8248699,-73.9229829,Bronx,441.18,< $500K
Townhouse,689000,3,2,1162.0,"Staten Island, NY 10303",United States,New York,Richmond County,40.6249962,-74.1553058,Staten Island,592.94,$500K–$1M
Co-Op,259000,3,1,2184.207862,"Jackson Heights, NY 11372",New York,Queens County,Queens,40.7531191,-73.8818757,Queens,118.58,< $500K
Co-Op,430000,2,2,2184.207862,"Elmhurst, NY 11373",New York,Queens County,Queens,40.7438639,-73.8745722,Queens,196.87,< $500K
Co-Op,895000,3,1,2184.207862,"New York, NY 10014",New York,New York County,New York,40.7382981,-74.0058899,Manhattan,409.76,$500K–$1M
Condo,549000,2,2,1000.0,"Staten Island, NY 10312",New York,Richmond County,Staten Island,40.5406209,-74.1671632,Staten Island,549.0,$500K–$1M
